timestamp,pixelCount
timestamp,pixelCount
2026-07-18 04:00:00,126
2026-07-18 04:01:00,57
2026-07-18 04:02:00,53
2026-07-18 04:03:00,55
2026-07-18 04:04:00,73
2026-07-18 04:05:00,81
2026-07-18 04:06:00,48
2026-07-18 04:07:00,77
2026-07-18 04:08:00,72
2026-07-18 04:09:00,68
2026-07-18 04:10:00,77
2026-07-18 04:11:00,57
2026-07-18 04:12:00,89
2026-07-18 04:13:00,58
2026-07-18 04:14:00,84
2026-07-18 04:15:00,55
2026-07-18 04:16:00,66
2026-07-18 04:17:00,62
2026-07-18 04:18:00,78
2026-07-18 04:19:00,97
2026-07-18 04:20:00,63
2026-07-18 04:21:00,79
2026-07-18 04:22:00,74
2026-07-18 04:23:00,69
2026-07-18 04:24:00,89
2026-07-18 04:25:00,84
2026-07-18 04:26:00,83
2026-07-18 04:27:00,70
2026-07-18 04:28:00,82
2026-07-18 04:29:00,80
2026-07-18 04:30:00,67
2026-07-18 04:31:00,81
2026-07-18 04:32:00,89
2026-07-18 04:33:00,93
2026-07-18 04:34:00,79
2026-07-18 04:35:00,80
2026-07-18 04:36:00,85
2026-07-18 04:37:00,79
2026-07-18 04:38:00,64
2026-07-18 04:39:00,96
2026-07-18 04:40:00,101
2026-07-18 04:41:00,102
2026-07-18 04:42:00,87
2026-07-18 04:43:00,79
2026-07-18 04:44:00,79
2026-07-18 04:45:00,72
2026-07-18 04:46:00,108
2026-07-18 04:47:00,76
2026-07-18 04:48:00,83
2026-07-18 04:49:00,86
2026-07-18 04:50:00,76
2026-07-18 04:51:00,91
2026-07-18 04:52:00,112
2026-07-18 04:53:00,77
2026-07-18 04:54:00,92
2026-07-18 04:55:00,91
2026-07-18 04:56:00,111
2026-07-18 04:57:00,88
2026-07-18 04:58:00,104
2026-07-18 04:59:00,80
2026-07-18 05:00:00,88
2026-07-18 05:01:00,127
2026-07-18 05:02:00,94
2026-07-18 05:03:00,99
2026-07-18 05:04:00,94
2026-07-18 05:05:00,85
2026-07-18 05:06:00,94
2026-07-18 05:07:00,87
2026-07-18 05:08:00,82
2026-07-18 05:09:00,103
2026-07-18 05:10:00,86
2026-07-18 05:11:00,86
2026-07-18 05:12:00,88
2026-07-18 05:13:00,110
2026-07-18 05:14:00,88
2026-07-18 05:15:00,100
2026-07-18 05:16:00,105
2026-07-18 05:17:00,85
2026-07-18 05:18:00,103
2026-07-18 05:19:00,116
2026-07-18 05:20:00,68
2026-07-18 05:21:00,91
2026-07-18 05:22:00,121
2026-07-18 05:23:00,92
2026-07-18 05:24:00,95
2026-07-18 05:25:00,87
2026-07-18 05:26:00,100
2026-07-18 05:27:00,98
2026-07-18 05:28:00,100
2026-07-18 05:29:00,106
2026-07-18 05:30:00,77
2026-07-18 05:31:00,94
2026-07-18 05:32:00,117
2026-07-18 05:33:00,109
2026-07-18 05:34:00,87
2026-07-18 05:35:00,90
2026-07-18 05:36:00,88
2026-07-18 05:37:00,96
2026-07-18 05:38:00,79
2026-07-18 05:39:00,115
2026-07-18 05:40:00,105
2026-07-18 05:41:00,91
2026-07-18 05:42:00,81
2026-07-18 05:43:00,92
2026-07-18 05:44:00,95
2026-07-18 05:45:00,87
2026-07-18 05:46:00,93
2026-07-18 05:47:00,103
2026-07-18 05:48:00,92
2026-07-18 05:49:00,78
2026-07-18 05:50:00,92
2026-07-18 05:51:00,88
2026-07-18 05:52:00,89
2026-07-18 05:53:00,75
2026-07-18 05:54:00,67
2026-07-18 05:55:00,105
2026-07-18 05:56:00,93
2026-07-18 05:57:00,75
2026-07-18 05:58:00,65
2026-07-18 05:59:00,110
2026-07-18 06:00:00,96
2026-07-18 06:01:00,90
2026-07-18 06:02:00,79
2026-07-18 06:03:00,83
2026-07-18 06:04:00,109
2026-07-18 06:05:00,68
2026-07-18 06:06:00,94
2026-07-18 06:07:00,97
2026-07-18 06:08:00,83
2026-07-18 06:09:00,78
2026-07-18 06:10:00,101
2026-07-18 06:11:00,91
2026-07-18 06:12:00,109
2026-07-18 06:13:00,87
2026-07-18 06:14:00,96
2026-07-18 06:15:00,106
2026-07-18 06:16:00,92
2026-07-18 06:17:00,86
2026-07-18 06:18:00,94
2026-07-18 06:19:00,83
2026-07-18 06:20:00,111
2026-07-18 06:21:00,66
2026-07-18 06:22:00,109
2026-07-18 06:23:00,82
2026-07-18 06:24:00,116
2026-07-18 06:25:00,106
2026-07-18 06:26:00,66
2026-07-18 06:27:00,82
2026-07-18 06:28:00,120
2026-07-18 06:29:00,75
2026-07-18 06:30:00,78
2026-07-18 06:31:00,99
2026-07-18 06:32:00,108
2026-07-18 06:33:00,80
